BRITANNIA,EQ,4963.9,08/12/17,2885,11/01/17,43077,42746
BRNL,EQ,218.9,18/09/17,170,09/11/17,42996,43048
BROOKS,EQ,161.6,08/02/17,95.15,30/05/17,42774,42885
BSE,EQ,1200,03/02/17,886.05,18/12/17,42769,43087
BSELINFRA,BE,7.9,06/04/17,3.6,06/10/17,42831,43014
BSL,EQ,131.4,02/01/18,52.55,22/08/17,43102,42969
BSLGOLDETF,EQ,3000,28/11/17,2577,12/12/17,43067,43081
BSLIMITED,EQ,2.7,23/01/17,1.1,29/08/17,42758,42976
BSLNIFTY,EQ,123,02/01/18,87.6,05/05/17,43102,42860
BURNPUR,BE,17,06/02/17,7.2,23/08/17,42772,42970
BUTTERFLY,BE,598.8,26/12/17,155,11/08/17,43095,42958
BVCL,BE,42.8,17/04/17,22.15,12/01/17,42842,42747
BYKE,EQ,221.9,05/05/17,149.5,22/11/17,42860,43061
CADILAHC,EQ,560,10/07/17,329.4,31/01/17,42926,42766
CALSOFT,BE,114.05,21/12/17,5.4,16/08/17,43090,42963
CAMLINFINE,EQ,154.75,05/01/18,72.2,11/09/17,43105,42989
CANBK,EQ,463.7,26/10/17,261.26,23/01/17,43034,42758
CANDC,BE,108.75,22/11/17,16.35,27/01/17,43061,42762
CANFINHOME,EQ,666,22/06/17,330.2,13/01/17,42908,42748
CANTABIL,EQ,130.45,10/01/18,61.6,11/08/17,43110,42958
CAPACITE,EQ,437.45,04/12/17,324.1,15/11/17,43073,43054
CAPF,EQ,840,11/01/18,582,23/01/17,43111,42758
CAPLIPOINT,EQ,784.8,07/08/17,335,15/02/17,42954,42781
CAPTRUST,EQ,569.85,01/12/17,357,18/07/17,43070,42934
CARBORUNIV,EQ,427,04/01/18,246.1,23/01/17,43104,42758
CAREERP,EQ,166.7,10/10/17,92.35,11/08/17,43018,42958
CARERATING,EQ,1725,11/07/17,1282.6,05/12/17,42927,43074
CASTEXTECH,BE,9.95,27/02/17,4.75,05/10/17,42793,43013
CASTROLIND,EQ,226.4,25/04/17,176,28/09/17,42850,43006
CCCL,BE,10.35,06/11/17,3.5,27/03/17,43045,42821
CCHHL,BE,21.9,01/01/18,11.05,01/03/17,43101,42795
CCL,EQ,372,02/03/17,254.15,11/08/17,42796,42958
CDSL,EQ,486,14/07/17,243.15,03/07/17,42930,42919
CEATLTD,EQ,2019,09/01/18,1071.05,16/02/17,43109,42782
CEBBCO,BE,21.8,28/12/17,9.9,30/08/17,43097,42977
CELEBRITY,EQ,27.05,20/07/17,9.8,24/01/17,42936,42759
CELESTIAL,EQ,30.4,10/07/17,16,06/11/17,42926,43045
CENTENKA,EQ,454.4,11/04/17,287,17/01/17,42836,42752
CENTEXT,EQ,7.35,24/04/17,3.4,11/08/17,42849,42958
CENTRALBK,EQ,123.25,10/05/17,70.6,18/08/17,42865,42965
CENTUM,EQ,794.5,04/01/18,570,24/05/17,43104,42879
CENTURYPLY,EQ,363,11/01/18,176,16/01/17,43111,42751
CENTURYTEX,EQ,1471.2,09/01/18,790.95,16/01/17,43109,42751
CERA,EQ,3864,04/12/17,2017.95,16/01/17,43073,42751
CEREBRAINT,EQ,61.35,06/07/17,26.8,11/01/17,42922,42746
CESC,EQ,1190,11/01/18,655.55,11/01/17,43111,42746
CGCL,EQ,142,21/09/17,38.05,17/02/17,42999,42783
CGPOWER,EQ,98.5,11/01/18,61.8,11/01/17,43111,42746
CHAMBLFERT,EQ,164.5,03/01/18,76,09/03/17,43103,42803
CHENNPETRO,EQ,480.5,27/10/17,324,20/01/17,43035,42755
CHOLAFIN,EQ,1353.8,08/01/18,912,10/03/17,43108,42804
CHROMATIC,BE,3.75,11/12/17,1.9,29/08/17,43080,42976
CIGNITITEC,BE,491.95,19/01/17,156.45,11/08/17,42754,42958
CIMMCO,BE,142.4,27/12/17,57.9,22/03/17,43096,42816
CINELINE,EQ,120.55,01/01/18,66.05,11/08/17,43101,42958
CINEVISTA,BE,25.6,18/10/17,5.8,05/04/17,43026,42830
CIPLA,EQ,663.4,07/11/17,480.2,26/05/17,43046,42881
CLEDUCATE,EQ,474.95,18/04/17,278.2,10/01/18,42843,43110
CLNINDIA,EQ,752.7,09/02/17,552.65,18/12/17,42775,43087
CMICABLES,EQ,306.8,21/12/17,158.9,15/02/17,43090,42781
CNOVAPETRO,EQ,55.35,16/11/17,20.3,28/03/17,43055,42822
COALINDIA,EQ,332.3,27/02/17,233.7,11/08/17,42793,42958
COCHINSHIP,EQ,599,24/11/17,435,11/08/17,43063,42958
COFFEEDAY,EQ,372,11/01/18,197.05,23/01/17,43111,42758
COLPAL,EQ,1178.35,13/09/17,861.3,30/01/17,42991,42765
COMPINFO,EQ,65,08/01/18,21.2,21/06/17,43108,42907
COMPUSOFT,BE,21.85,27/12/17,10.55,27/06/17,43096,42913
CONCOR,EQ,1499,10/01/18,908.8,31/01/17,43110,42766
CONSOFINVT,EQ,95.6,02/01/18,52.2,16/02/17,43102,42782
CONTROLPR,EQ,530,01/12/17,231,25/01/17,43070,42760
CORALFINAC,EQ,106.5,26/10/17,35.3,31/03/17,43034,42825
CORDSCABLE,BE,153.95,06/11/17,73.15,12/01/17,43045,42747
COROMANDEL,EQ,586.75,01/01/18,306.45,03/04/17,43101,42828
CORPBANK,EQ,64.75,05/05/17,37.7,03/10/17,42860,43011
COSMOFILMS,EQ,469.9,28/04/17,342.7,18/12/17,42853,43087
COUNCODOS,BE,5,06/12/17,2.5,27/09/17,43075,43005
COX&KINGS,EQ,305.6,27/07/17,183.35,10/03/17,42943,42804
CPSEETF,EQ,31.45,10/01/18,22.25,10/07/17,43110,42926
CREST,EQ,297.5,01/01/18,88.6,23/01/17,43101,42758
CRISIL,EQ,2249.95,11/01/17,1761,06/12/17,42746,43075
CRMFGETF,EQ,2864.5,20/04/17,2500.4,14/03/17,42845,42808
CROMPTON,EQ,295,04/01/18,150.25,11/01/17,43104,42746
CTE,EQ,104.4,15/02/17,59.3,14/11/17,42781,43053
CUB,EQ,186.05,14/06/17,123.18,12/01/17,42900,42747
CUBEXTUB,BE,44.25,08/11/17,10.9,20/03/17,43047,42814
CUMMINSIND,EQ,1096.8,03/05/17,816.45,11/01/17,42858,42746
CUPID,EQ,423,11/01/18,230,25/09/17,43111,43003
CURATECH,BE,16.15,24/03/17,3.85,24/07/17,42818,42940
CYBERMEDIA,BE,18.5,09/11/17,5.7,13/09/17,43048,42991
CYBERTECH,EQ,95.5,27/01/17,48.1,10/08/17,42762,42957
CYIENT,EQ,605.75,07/12/17,440.2,01/02/17,43076,42767
DAAWAT,EQ,110,08/01/18,32.3,11/01/17,43108,42746
DABUR,EQ,362.35,10/01/18,263.6,10/02/17,43110,42776
DALMIABHA,EQ,3350,28/11/17,1560,11/01/17,43067,42746
DALMIASUG,EQ,202,31/01/17,120.25,27/06/17,42766,42913
DAMODARIND,EQ,148.3,27/11/17,72.15,16/02/17,43066,42782
DATAMATICS,EQ,164.9,20/01/17,92.35,30/05/17,42755,42885
